[2024-12-30 16:21:23] This is codeql database index-files --working-dir=. --include-extension=.htm --include-extension=.html --include-extension=.xhtm --include-extension=.xhtml --include-extension=.vue --size-limit 10m --language html -- /Users/test/Desktop/trafficcontrol/trafficcontrol_vuln
[2024-12-30 16:21:23] Log file was started late.
[2024-12-30 16:21:23] Using index-files script /Users/test/Library/Application Support/Code/User/globalStorage/github.vscode-codeql/distribution4/codeql/html/tools/index-files.sh.
[2024-12-30 16:21:23] [PROGRESS] database index-files> Scanning for files in /Users/test/Desktop/trafficcontrol...
[2024-12-30 16:21:23] Calling plumbing command: codeql resolve files --include-extension=.htm --include-extension=.html --include-extension=.xhtm --include-extension=.xhtml --include-extension=.vue --size-limit=10m /Users/test/Desktop/trafficcontrol --format=json
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/misc...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/misc/logos...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/misc/logos/page_logos...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/misc/git...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/misc/git/pre-commit-hooks...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/url-rewriter-nginx...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/certificate_auth...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/certificate_auth/example...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/certificate_auth/example/server...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/certificate_auth/example/client...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/certificate_auth/certs...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault/etc...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault/etc/systemd...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault/etc/systemd/system...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault/opt...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault/opt/emulated-vault...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault/opt/emulated-vault/storage...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault/opt/emulated-vault/conf...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/emulated_vault/opt/emulated-vault/vault...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/postgrest...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_ops_auth...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/graphql.sample...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/graphql.sample/volumes...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/graphql.sample/volumes/common...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/graphql.sample/volumes/pgadmin...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/graphql.sample/volumes/pg-db...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/graphql.sample/volumes/postgraphile...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/availableservers...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/crstates...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/crconfigregex...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/config...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/crconfigdsservers...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/ipmap...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/crconfigpoller...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/cgsrch...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/nextcache...
[2024-12-30 16:21:23] [PROGRESS] resolve files> Scanning /Users/test/Desktop/trafficcontrol/experimental/traffic_router_golang/fetch...
